Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  4.46      5.97     1.89     0.00     4.09    85156  ActiveSupport::CoreExtensions::Time::Calculations#<=>
  3.77      4.54     1.59     0.00     2.95    95145  ActiveSupport::TimeWithZone#respond_to?
  3.60      2.33     1.52     0.00     0.80    10408  Hash#each_key
  3.38      5.12     1.43     0.00     3.69    10437  Integer#times
  2.98     11.17     1.26     0.00     9.91    11471  Array#each-1
  2.58      1.35     1.09     0.00     0.26    62122  ActiveRecord::Associations::AssociationProxy#load_target
  2.51      1.67     1.06     0.00     0.61    95593  Object#acts_like?
  2.30      0.98     0.98     0.00     0.00   315755  Symbol#to_s
  2.18      8.19     0.92     0.00     7.27    10437  SQLite3::ResultSet#next
  2.08      1.53     0.88     0.00     0.65    62502  SQLite3::Driver::Native::Driver#column_type
  2.06      2.01     0.87     0.00     1.14    20774  ActiveRecord::AttributeMethods#respond_to?
  1.96      4.02     0.83     0.00     3.19    41548  ActiveRecord::Associations::AssociationProxy#method_missing
  1.85      7.13     0.78     0.00     6.35    85143  ActiveSupport::TimeWithZone#<=>
  1.73      4.83     0.73     0.00     4.10   202304  Hash#[]
  1.66      1.04     0.70     0.00     0.34    20774  PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)#phrase
  1.65      3.30     0.70     0.00     2.61   145696  Kernel#send-11
  1.57      1.17     0.66     0.00     0.51    62487  SQLite3::Driver::Native::Driver#column_text
  1.50      0.75     0.63     0.00     0.11      665  Array#map-1
  1.39      0.59     0.59     0.00     0.00   242848  Kernel#respond_to?
  1.34      0.83     0.57     0.00     0.27   125016  Kernel#===
  1.09     11.06     0.46     0.00    10.60      678  Array#map
  1.07      2.06     0.45     0.00     1.60    62184  Class#new
  1.06      2.26     0.45     0.00     1.81    10702  ActiveRecord::ConnectionAdapters::Column#type_cast
  1.05      0.88     0.44     0.00     0.43    10497  <Class::ActiveRecord::Base>#instantiate
  1.01      0.43     0.43     0.00     0.00   185895  Kernel#is_a?
  1.00      1.28     0.42     0.00     0.86    10387  <Class::ActiveRecord::ConnectionAdapters::Column>#fast_string_to_time
  0.97      1.04     0.41     0.00     0.63    20574  ActiveRecord::Associations::AssociationProxy#method_missing-1
  0.95      1.16     0.40     0.00     0.76    10002  <Class::TZInfo::TimeOrDateTime>#wrap
  0.93      0.61     0.39     0.00     0.22    10002  ActiveSupport::CoreExtensions::Numeric::Conversions#to_utc_offset_s
  0.91      0.39     0.39     0.00     0.00   178090  Fixnum#==
  0.90      3.26     0.38     0.00     2.88    10687  ActiveRecord::AttributeMethods#read_attribute
  0.89      0.38     0.38     0.00     0.00    85143  ActiveSupport::TimeWithZone#utc
  0.88      1.23     0.37     0.00     0.86    41648  ActiveRecord::Base#hash
  0.88      0.37     0.37     0.00     0.00    85143  ActiveSupport::TimeWithZone#comparable_time
  0.86      0.37     0.37     0.00     0.01   136733  Hash#[]=
  0.75      4.54     0.32     0.00     4.23    10387  PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)#created_at
  0.75      0.32     0.32     0.00     0.00   125245  String#to_i
  0.71      1.63     0.30     0.00     1.33    10387  <Class::ActiveRecord::ConnectionAdapters::Column>#string_to_time
  0.70      0.37     0.30     0.00     0.07    10002  TZInfo::TimeOrDateTime#initialize
  0.69      4.83     0.29     0.00     4.53    10837  Array#flatten
  0.69      0.31     0.29     0.00     0.02    20252  String#gsub
  0.68      2.65     0.29     0.00     2.37      110  Array#each-2
  0.65      0.38     0.28     0.00     0.11    20874  Phrase(id: integer, text: string, created_at: datetime, updated_at: datetime)#id
  0.65      0.39     0.28     0.00     0.11    20774  PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)#id
  0.63      0.27     0.27     0.00     0.00   115745  String#==
  0.61      0.26     0.26     0.00     0.00    62122  ActiveRecord::Associations::AssociationProxy#loaded?
  0.61      0.26     0.26     0.00     0.00   114889  Kernel#nil?
  0.60      0.25     0.25     0.00     0.00   118003  Fixnum#<=>
  0.59     19.93     0.25     0.00    19.68    52123  Kernel#send-5
  0.57      1.05     0.24     0.00     0.81    10387  PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)#set_phrase_target
  0.57      0.24     0.24     0.00     0.00   104701  Array#<<
  0.55      0.31     0.23     0.00     0.08    20774  ActiveRecord::AttributeMethods::ClassMethods#match_attribute_method?
  0.55      2.04     0.23     0.00     1.81       69  Array#each-3
  0.55      7.36     0.23     0.00     7.13       39  Array#sort
  0.54      0.34     0.23     0.00     0.11    10422  SQLite3::Driver::Native::Driver#data_count
  0.53      0.52     0.23     0.00     0.30    10397  ActiveRecord::Associations::AssociationProxy#initialize
